annotation_id,conversation_id,message_id,intent,service,extracted_fields,confidence
ann_00071,conv_0071,msg_00350,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Toyota Camry""}",0.96
ann_00072,conv_0072,msg_00354,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Toyota Camry""}",0.95
ann_00073,conv_0073,msg_00360,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""BMW X5""}",0.93
ann_00074,conv_0074,msg_00365,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Hyundai Santa Fe""}",0.86
ann_00075,conv_0075,msg_00369,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Lexus RX""}",0.90
ann_00076,conv_0076,msg_00373,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Mazda CX-5""}",0.89
ann_00077,conv_0077,msg_00377,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Hyundai Santa Fe""}",0.90
ann_00078,conv_0078,msg_00381,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Range Rover Sport""}",0.88
ann_00079,conv_0079,msg_00385,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mercedes-Benz E-Class""}",0.83
ann_00080,conv_0080,msg_00389,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Kia K5""}",0.87
ann_00081,conv_0081,msg_00395,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Volkswagen Tiguan""}",0.91
ann_00082,conv_0082,msg_00399,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Kia K5""}",0.94
ann_00083,conv_0083,msg_00405,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Honda Accord 8""}",0.93
ann_00084,conv_0084,msg_00411,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Kia K5""}",0.86
ann_00085,conv_0085,msg_00417,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Mercedes-Benz E-Class""}",0.87
ann_00086,conv_0086,msg_00422,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Volkswagen Tiguan""}",0.86
ann_00087,conv_0087,msg_00426,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Honda Accord 8""}",0.88
ann_00088,conv_0088,msg_00430,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""Hyundai Santa Fe""}",0.88
ann_00089,conv_0089,msg_00434,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Mercedes-Benz E-Class""}",0.94
ann_00090,conv_0090,msg_00440,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Porsche Macan""}",0.83
ann_00091,conv_0091,msg_00444,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Audi A6""}",0.95
ann_00092,conv_0092,msg_00449,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Toyota Camry""}",0.95
ann_00093,conv_0093,msg_00453,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""BMW X5""}",0.92
ann_00094,conv_0094,msg_00458,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Audi A6""}",0.96
ann_00095,conv_0095,msg_00463,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Volkswagen Tiguan""}",0.88
ann_00096,conv_0096,msg_00469,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Honda Accord 8""}",0.94
ann_00097,conv_0097,msg_00473,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Honda Accord 8""}",0.85
ann_00098,conv_0098,msg_00477,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Kia K5""}",0.86
ann_00099,conv_0099,msg_00481,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Skoda Octavia""}",0.84
ann_00100,conv_0100,msg_00486,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Toyota Camry""}",0.96
ann_00101,conv_0101,msg_00492,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Range Rover Sport""}",0.91
ann_00102,conv_0102,msg_00497,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Honda Accord 8""}",0.93
ann_00103,conv_0103,msg_00501,new_service_request,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mazda CX-5""}",0.92
ann_00104,conv_0104,msg_00507,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Porsche Macan""}",0.89
ann_00105,conv_0105,msg_00511,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""BMW X5""}",0.88
ann_00106,conv_0106,msg_00517,new_service_request,Detailing wash,"{""service"":""Detailing wash"",""car"":""BMW X5""}",0.85
ann_00107,conv_0107,msg_00522,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Audi A6""}",0.95
ann_00108,conv_0108,msg_00527,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Porsche Macan""}",0.88
ann_00109,conv_0109,msg_00532,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Mercedes-Benz E-Class""}",0.96
ann_00110,conv_0110,msg_00538,new_service_request,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Kia K5""}",0.96
ann_00111,conv_0111,msg_00542,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Porsche Macan""}",0.94
ann_00112,conv_0112,msg_00547,new_service_request,Window tinting,"{""service"":""Window tinting"",""car"":""Mercedes-Benz E-Class""}",0.93
ann_00113,conv_0113,msg_00552,new_service_request,Chrome delete,"{""service"":""Chrome delete"",""car"":""Kia K5""}",0.86
ann_00114,conv_0114,msg_00556,new_service_request,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Range Rover Sport""}",0.89
ann_00115,conv_0115,msg_00560,new_service_request,Paint correction,"{""service"":""Paint correction"",""car"":""Skoda Octavia""}",0.83
ann_00116,conv_0116,msg_00565,new_service_request,PPF elements,"{""service"":""PPF elements"",""car"":""Mazda CX-5""}",0.97
ann_00117,conv_0117,msg_00569,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Audi A6""}",0.84
ann_00118,conv_0118,msg_00575,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Geely Monjaro""}",0.91
ann_00119,conv_0119,msg_00581,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Toyota Camry""}",0.92
ann_00120,conv_0120,msg_00586,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Kia K5""}",0.85
ann_00121,conv_0121,msg_00592,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Volkswagen Tiguan""}",0.93
ann_00122,conv_0122,msg_00598,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Mercedes-Benz E-Class""}",0.88
ann_00123,conv_0123,msg_00604,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Mercedes-Benz E-Class""}",0.89
ann_00124,conv_0124,msg_00608,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Skoda Octavia""}",0.93
ann_00125,conv_0125,msg_00613,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Skoda Octavia""}",0.92
ann_00126,conv_0126,msg_00618,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Lexus RX""}",0.90
ann_00127,conv_0127,msg_00622,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""BMW X5""}",0.96
ann_00128,conv_0128,msg_00626,price_consultation,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Range Rover Sport""}",0.95
ann_00129,conv_0129,msg_00632,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Mercedes-Benz E-Class""}",0.90
ann_00130,conv_0130,msg_00637,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Geely Monjaro""}",0.90
ann_00131,conv_0131,msg_00641,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Porsche Macan""}",0.87
ann_00132,conv_0132,msg_00647,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Tesla Model 3""}",0.87
ann_00133,conv_0133,msg_00652,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Kia K5""}",0.94
ann_00134,conv_0134,msg_00658,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Volkswagen Tiguan""}",0.97
ann_00135,conv_0135,msg_00663,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Toyota Camry""}",0.96
ann_00136,conv_0136,msg_00669,price_consultation,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Porsche Macan""}",0.88
ann_00137,conv_0137,msg_00673,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Audi A6""}",0.91
ann_00138,conv_0138,msg_00677,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Tesla Model 3""}",0.88
ann_00139,conv_0139,msg_00683,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Audi A6""}",0.91
ann_00140,conv_0140,msg_00688,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Hyundai Santa Fe""}",0.87
ann_00141,conv_0141,msg_00694,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mazda CX-5""}",0.91
ann_00142,conv_0142,msg_00698,price_consultation,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Porsche Macan""}",0.97
ann_00143,conv_0143,msg_00702,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""BMW X5""}",0.88
ann_00144,conv_0144,msg_00707,price_consultation,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Range Rover Sport""}",0.83
ann_00145,conv_0145,msg_00711,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Tesla Model 3""}",0.85
ann_00146,conv_0146,msg_00717,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Hyundai Santa Fe""}",0.94
ann_00147,conv_0147,msg_00723,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Audi A6""}",0.91
ann_00148,conv_0148,msg_00728,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Skoda Octavia""}",0.84
ann_00149,conv_0149,msg_00732,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Skoda Octavia""}",0.93
ann_00150,conv_0150,msg_00736,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Honda Accord 8""}",0.85
ann_00151,conv_0151,msg_00742,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Mercedes-Benz E-Class""}",0.91
ann_00152,conv_0152,msg_00747,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Audi A6""}",0.83
ann_00153,conv_0153,msg_00752,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Range Rover Sport""}",0.94
ann_00154,conv_0154,msg_00756,price_consultation,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Tesla Model 3""}",0.92
ann_00155,conv_0155,msg_00761,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Volkswagen Tiguan""}",0.88
ann_00156,conv_0156,msg_00767,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Geely Monjaro""}",0.82
ann_00157,conv_0157,msg_00773,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Skoda Octavia""}",0.83
ann_00158,conv_0158,msg_00778,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Mercedes-Benz E-Class""}",0.89
ann_00159,conv_0159,msg_00783,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Tesla Model 3""}",0.90
ann_00160,conv_0160,msg_00789,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Hyundai Santa Fe""}",0.90
ann_00161,conv_0161,msg_00793,price_consultation,Window tinting,"{""service"":""Window tinting"",""car"":""Kia K5""}",0.91
ann_00162,conv_0162,msg_00797,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Hyundai Santa Fe""}",0.89
ann_00163,conv_0163,msg_00802,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Lexus RX""}",0.89
ann_00164,conv_0164,msg_00807,price_consultation,Chrome delete,"{""service"":""Chrome delete"",""car"":""Hyundai Santa Fe""}",0.95
ann_00165,conv_0165,msg_00813,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Audi A6""}",0.87
ann_00166,conv_0166,msg_00818,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Geely Monjaro""}",0.93
ann_00167,conv_0167,msg_00824,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mazda CX-5""}",0.91
ann_00168,conv_0168,msg_00830,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Range Rover Sport""}",0.97
ann_00169,conv_0169,msg_00835,price_consultation,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Range Rover Sport""}",0.96
ann_00170,conv_0170,msg_00839,price_consultation,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mazda CX-5""}",0.96
ann_00171,conv_0171,msg_00844,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Hyundai Santa Fe""}",0.86
ann_00172,conv_0172,msg_00850,price_consultation,Detailing wash,"{""service"":""Detailing wash"",""car"":""Honda Accord 8""}",0.87
ann_00173,conv_0173,msg_00854,price_consultation,Paint correction,"{""service"":""Paint correction"",""car"":""Lexus RX""}",0.85
ann_00174,conv_0174,msg_00858,price_consultation,PPF elements,"{""service"":""PPF elements"",""car"":""Honda Accord 8""}",0.83
ann_00175,conv_0175,msg_00864,general_question,,{},0.85
ann_00176,conv_0176,msg_00868,general_question,,{},0.88
ann_00177,conv_0177,msg_00872,general_question,,{},0.91
ann_00178,conv_0178,msg_00878,general_question,,{},0.90
ann_00179,conv_0179,msg_00883,general_question,,{},0.91
ann_00180,conv_0180,msg_00888,general_question,,{},0.89
ann_00181,conv_0181,msg_00892,general_question,,{},0.86
ann_00182,conv_0182,msg_00896,general_question,,{},0.97
ann_00183,conv_0183,msg_00901,general_question,,{},0.84
ann_00184,conv_0184,msg_00905,general_question,,{},0.97
ann_00185,conv_0185,msg_00911,general_question,,{},0.93
ann_00186,conv_0186,msg_00916,general_question,,{},0.83
ann_00187,conv_0187,msg_00922,general_question,,{},0.87
ann_00188,conv_0188,msg_00928,general_question,,{},0.88
ann_00189,conv_0189,msg_00932,general_question,,{},0.87
ann_00190,conv_0190,msg_00938,general_question,,{},0.97
ann_00191,conv_0191,msg_00942,general_question,,{},0.91
ann_00192,conv_0192,msg_00946,general_question,,{},0.85
ann_00193,conv_0193,msg_00950,general_question,,{},0.86
ann_00194,conv_0194,msg_00956,general_question,,{},0.96
ann_00195,conv_0195,msg_00962,general_question,,{},0.96
ann_00196,conv_0196,msg_00967,general_question,,{},0.90
ann_00197,conv_0197,msg_00972,general_question,,{},0.95
ann_00198,conv_0198,msg_00976,general_question,,{},0.94
ann_00199,conv_0199,msg_00982,general_question,,{},0.82
ann_00200,conv_0200,msg_00986,general_question,,{},0.82
ann_00201,conv_0201,msg_00991,general_question,,{},0.90
ann_00202,conv_0202,msg_00995,general_question,,{},0.94
ann_00203,conv_0203,msg_00999,general_question,,{},0.92
ann_00204,conv_0204,msg_01004,general_question,,{},0.94
ann_00205,conv_0205,msg_01008,general_question,,{},0.95
ann_00206,conv_0206,msg_01014,general_question,,{},0.89
ann_00207,conv_0207,msg_01018,general_question,,{},0.89
ann_00208,conv_0208,msg_01024,general_question,,{},0.91
ann_00209,conv_0209,msg_01029,general_question,,{},0.87
ann_00210,conv_0210,msg_01033,general_question,,{},0.85
ann_00211,conv_0211,msg_01037,general_question,,{},0.91
ann_00212,conv_0212,msg_01042,general_question,,{},0.87
ann_00213,conv_0213,msg_01046,general_question,,{},0.89
ann_00214,conv_0214,msg_01051,cancel_or_reschedule,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Volkswagen Tiguan""}",0.87
ann_00215,conv_0215,msg_01056,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""Audi A6""}",0.87
ann_00216,conv_0216,msg_01061,cancel_or_reschedule,PPF elements,"{""service"":""PPF elements"",""car"":""Hyundai Santa Fe""}",0.84
ann_00217,conv_0217,msg_01066,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""Geely Monjaro""}",0.91
ann_00218,conv_0218,msg_01070,cancel_or_reschedule,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Audi A6""}",0.93
ann_00219,conv_0219,msg_01075,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Honda Accord 8""}",0.93
ann_00220,conv_0220,msg_01079,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Geely Monjaro""}",0.91
ann_00221,conv_0221,msg_01085,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Lexus RX""}",0.85
ann_00222,conv_0222,msg_01091,cancel_or_reschedule,Chrome delete,"{""service"":""Chrome delete"",""car"":""Skoda Octavia""}",0.92
ann_00223,conv_0223,msg_01095,cancel_or_reschedule,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Mercedes-Benz E-Class""}",0.97
ann_00224,conv_0224,msg_01100,cancel_or_reschedule,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Range Rover Sport""}",0.86
ann_00225,conv_0225,msg_01106,cancel_or_reschedule,PPF elements,"{""service"":""PPF elements"",""car"":""Lexus RX""}",0.92
ann_00226,conv_0226,msg_01110,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Tesla Model 3""}",0.88
ann_00227,conv_0227,msg_01116,cancel_or_reschedule,Interior dry cleaning,"{""service"":""Interior dry cleaning"",""car"":""Kia K5""}",0.85
ann_00228,conv_0228,msg_01121,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Range Rover Sport""}",0.84
ann_00229,conv_0229,msg_01125,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""BMW X5""}",0.84
